id,command,summary,posix_reference,implementation,test,status
POSIX-BASENAME-INPUT-001,basename,accept string and optional suffix,POSIX.1-2024 basename,Posix_Tools.Commands.Basename,command:basename,Partially conforming
POSIX-BASENAME-LEXICAL-001,basename,use slash-only lexical pathname processing including repeated and trailing slashes,POSIX.1-2024 basename,Posix_Tools.Paths,basic:paths,Partially conforming
POSIX-BASENAME-COMMAND-001,basename,expose lexical slash suffix empty and non-ASCII edge-case behavior through command package output,POSIX.1-2024 basename,Posix_Tools.Commands.Basename,command:basename edge cases,Partially conforming
POSIX-DIRNAME-INPUT-001,dirname,accept one string operand,POSIX.1-2024 dirname,Posix_Tools.Commands.Dirname,command:dirname,Partially conforming
POSIX-DIRNAME-LEXICAL-001,dirname,use slash-only lexical pathname processing including repeated and trailing slashes,POSIX.1-2024 dirname,Posix_Tools.Paths,basic:paths,Partially conforming
POSIX-DIRNAME-COMMAND-001,dirname,expose lexical empty root repeated trailing absolute relative and backslash edge cases through command package output,POSIX.1-2024 dirname,Posix_Tools.Commands.Dirname,command:dirname edge cases,Partially conforming
POSIX-ECHO-OUTPUT-001,echo,write operands separated by spaces and newline,POSIX.1-2024 echo,Posix_Tools.Commands.Echo,command:echo,Partially conforming
POSIX-ECHO-DATA-001,echo,treat -n -- backslashes and non-sole help version and identity words as ordinary operands,POSIX.1-2024 echo,Posix_Tools.Commands.Echo,command:echo data edge cases; command:echo extension handling,Partially conforming
POSIX-TRUE-STATUS-001,true,return zero,POSIX.1-2024 true,Posix_Tools.Commands.True_Command,command:true,Partially conforming
POSIX-TRUE-EXT-001,true,recognize help/version/identity only as sole arguments and ignore other operands including non-sole identity,POSIX.1-2024 true,Posix_Tools.Commands.True_Command,command:true extension edges,Partially conforming
POSIX-FALSE-STATUS-001,false,return nonzero,POSIX.1-2024 false,Posix_Tools.Commands.False_Command,command:false,Partially conforming
POSIX-FALSE-EXT-001,false,recognize help/version/identity only as sole arguments and ignore other operands including non-sole identity,POSIX.1-2024 false,Posix_Tools.Commands.False_Command,command:false extension edges,Partially conforming
POSIX-CAT-INPUT-001,cat,copy input operands in order,POSIX.1-2024 cat,Posix_Tools.Commands.Cat,regression REG-CAT-0001,Partially conforming
POSIX-CAT-CONTINUE-001,cat,continue to later operands after recoverable input failure,POSIX.1-2024 cat,Posix_Tools.Commands.Cat,command:cat continues after missing file; regression REG-CAT-0002,Partially conforming
POSIX-CAT-DASH-002,cat,treat operand dash as standard input without byte translation or rewind,POSIX.1-2024 cat,Posix_Tools.Commands.File_Helpers,command:cat standard input,Partially conforming
POSIX-HEAD-DEFAULT-001,head,default to ten lines,POSIX.1-2024 head,Posix_Tools.Commands.Head,command:head default limits,Partially conforming
