id,command,summary,test
REG-CAT-0001,cat,preserve binary file bytes without adding a newline,regression:REG-CAT-0001 binary fixture
REG-CAT-0002,cat,continue after a missing file while preserving later operand output and aggregate failure,command:cat continues after missing file
REG-CAT-0003,cat,stop copying and return operational failure when stdout fails without emitting a read diagnostic,command:cat output failure
REG-CP-0001,cp,copy regular files through bounded binary-preserving hostkit descriptor transfers,regression:REG-CP-0001 bounded binary copy
REG-CP-0002,cp,render interactive overwrite prompts through messages-backed localization,regression:REG-CP-0002 localized overwrite prompt
REG-CP-0003,cp,recreate FIFO special files through hostkit where the platform supports filesystem FIFOs,regression:REG-CP-0003 fifo recreation
REG-CP-0004,cp,recreate Unix-domain socket files through hostkit where the platform supports filesystem sockets,regression:REG-CP-0004 socket recreation
REG-DIAG-0001,all,escape control characters in untrusted diagnostic operands and subjects before terminal presentation,command:usage errors
REG-STREAMS-0001,head tail,preserve LF-delimited byte segments and final partial segments,streams:lf segment splitting
REG-STDIN-0001,cat head tail wc,preserve standard input bytes and counts without adding a newline or rewinding repeated dash operands,command:cat standard input; command:head standard input; command:tail standard input; command:wc standard input
REG-STDOUT-0001,basename dirname echo pwd,return operational failure when command-data stdout writes fail,command:simple output failures
REG-OPTIONS-0001,basename cat dirname head pwd tail wc,treat -- as an end-of-options marker for conventional commands,command:end-of-options
REG-WC-0001,wc,count binary file and standard input bytes without synthetic newlines,streams:byte counting
REG-HEAD-0001,head,preserve final partial line and honor zero and compact counts,command:head counts
REG-HEAD-0002,head,reject invalid compact and negative counts without exceptions,command:head invalid count
REG-HEAD-0003,head,stop line emission and return operational failure when stdout fails without a read diagnostic,command:head output failure
REG-HEAD-0004,head,reject -n without a required count as invalid usage before file processing,command:head invalid count
REG-TAIL-0001,tail,preserve binary suffix output for -c count on files and standard input,command:tail byte mode edges
REG-TAIL-0002,tail,recognize compact and plus-prefixed tail counts as options rather than filenames,command:tail compact counts; command:tail plus origin
REG-TAIL-0003,tail,reject invalid compact and negative counts without exceptions,command:tail invalid count
REG-TAIL-0004,tail,stop suffix emission and return operational failure when stdout fails without a read diagnostic,command:tail output failure
REG-TAIL-0005,tail,reject -n and -c without required counts as invalid usage before file processing,command:tail invalid count
REG-TAIL-0006,tail,emit bytes appended after the initial suffix for follow mode and reopen a truncated file for follow-by-name mode,command:tail follow live
REG-WC-0002,wc,count split UTF-8 characters for -m and reject incomplete sequences in text modes,streams:utf-8 counting; command:wc invalid UTF-8
REG-WC-0003,wc,reject overlong bad-continuation surrogate and out-of-range UTF-8 sequences in text modes without printing partial counts,command:wc malformed UTF-8
REG-WC-0004,wc,reject surrogate and out-of-range UTF-8 code point encodings in text-counting support,streams:utf-8 counting; command:wc malformed UTF-8
REG-WC-0005,wc,return operational failure when stdout fails while suppressing totals after incomplete output,command:wc output failure
REG-WC-0006,wc,continue after a failed file and print a total for successful operands while returning aggregate failure,command:wc multiple files
REG-WC-0007,wc,reject -L consistently while it remains a documented V1 limitation,command:wc default and mixed text
REG-ROOT-0001,posix-tools,verify accepts rebuilt project command executables by identity and synchronized version,posix-tools verify smoke
REG-ROOT-0002,posix-tools,return operational failure when root help output cannot be written,command:root output failure
REG-ENV-0001,env,preserve env utility exit-status propagation and 126 or 127 execution-failure classification without invoking a shell,command:env utility status
REG-VERBOSE-0001,cp ln mv rm,return operational failure when verbose command-data output cannot be written after a successful file operation,command:expanded verbose output failures
REG-OPTIONS-0002,cp ln mkdir mv rm rmdir sort tee touch uniq xargs,stop option parsing at the command-specific operand or utility boundary so later option-like words remain operands,command:expanded utilities
REG-SORT-0001,sort,write sorted data to the -o output file and return operational failure when that output file cannot be written,command:expanded utilities
REG-SORT-0002,sort,apply supported release-locale collation keys and Unicode special case-fold mappings consistently in sort output check and key comparison modes,command:expanded utilities
REG-UNIQ-0001,uniq,write filtered data to the output operand including option-like output names and return operational failure when that output file cannot be written,command:expanded utilities
REG-STDOUT-0002,find printf,return operational failure when command-data standard output cannot be written,command:expanded utilities
REG-STDOUT-0003,date env,return operational failure when date or environment-listing command-data standard output cannot be written,command:expanded utilities
REG-STDOUT-0004,dd,return operational failure without record-count diagnostics when standard-output data cannot be written,command:expanded utilities
REG-STDOUT-0005,tr,return operational failure when translated byte output cannot be written,command:expanded utilities
REG-TR-0001,tr,expand locale equivalence classes use locale collation order for complement translation and accept supported multibyte collating symbols,command:expanded utilities
REG-STDERR-0001,xargs,return operational failure when -t trace output cannot be written before utility execution,command:expanded utilities
REG-XARGS-0001,xargs,preserve POSIX xargs utility exit-status band mapping for statuses 1 through 125 126 127 255 and missing utilities,command:xargs status bands
